id,username,name,date,text,url,sabores,sentimento
1853110476390936816,@NdeNathan,Nathan,2024-11-03 16:22:21,Vocês preferem sorvete Frosty ou Frut Biss???? me ajudem ,https://twitter.com/NdeNathan/status/1853110476390936816,nulo,neutro
1849103750952026274,@ange1lindo,xeixo sentido,2024-10-23 15:01:03,"parece q essa poha tem emulsificante que quando bate no liquidificador o negócio vira um sorvete da frosty
dito isso
EXCELENTE",https://twitter.com/ange1lindo/status/1849103750952026274,nulo,positivo
1829598844570734968,@naionai_,evaristo,2024-08-30 19:15:31,"negócio da pardal é q eu acho aguado os sorvete sabe, mas eu tava com preguiça de ir na frosty",https://twitter.com/naionai_/status/1829598844570734968,nulo,negativo
1826071964475105398,@lucsisokay,lucas guadagnino,2024-08-21 01:40:57,sorvete napolitano zero da frosty maior invenção da humanidade,https://twitter.com/lucsisokay/status/1826071964475105398,napolitano zero,neutro
1825321740962025584,@rmpelomundo,O nômade…,2024-08-18 23:59:50,Coming um pote de sorvete da Frosty quase todo sozinho ,https://twitter.com/rmpelomundo/status/1825321740962025584,nulo,neutro
1824143709505544416,@markgabriel2001,Marcos is tired,2024-08-15 17:58:45,"esse período consegui passar o fim de período sem comprar sorvete da frosty (geralmente era pelo menos um por semana no último mês)

fui lembrar e agr fiquei com vontade",https://twitter.com/markgabriel2001/status/1824143709505544416,nulo,neutro
1822455776146772258,@quebraquexo,Patriota chorando olhando pro céu,2024-08-11 02:11:31,Achei um sorvete vegano da frosty que era pra ser de chocolate mas tem gosto de PANETONE WTF kkkk,https://twitter.com/quebraquexo/status/1822455776146772258,chocolate,neutro
1808673056245551445,@theotherminuit,Tu faz massagem?,2024-07-04 01:23:54,O sorvete de LEITINHO da frosty é muito bom!,https://twitter.com/theotherminuit/status/1808673056245551445,leitinho trufado,positivo
1807885137260302538,@ZyX_EsV,Satanáries WǝɥʎɐW ɐ uO,2024-07-01 21:13:00,"Eu fui numa loja da frosty todo empolgado pq queria sorvete de menta C chocolate, perguntei pra moça e ela bem ""simpática"" disse que ""não vendiam nada de menta"", quase que eu saí dando rabissaca praquela racha abusada",https://twitter.com/ZyX_EsV/status/1807885137260302538,chocolate,neutro
1807193616709718416,@Frostyyyss_,Frosty,2024-06-29 23:25:08,Queria sorvete,https://twitter.com/Frostyyyss_/status/1807193616709718416,nulo,neutro
1807071613738754120,@rpwaline,sra autodiagnóstico de almeida,2024-06-29 15:20:21,a loja da frosty perto de casa com 50% de desconto tamo levando sorvete pra revender,https://twitter.com/rpwaline/status/1807071613738754120,nulo,neutro
1793059115758989627,@marreiracom2r,mar-rei-ra,2024-05-21 23:19:41,fui comprar o novo sorvete da frosty e não tem ainda na loja!!!!,https://twitter.com/marreiracom2r/status/1793059115758989627,nulo,neutro
1792742715438121460,@marreiracom2r,mar-rei-ra,2024-05-21 02:22:25,"e a frosty que lançou o sorvete de napolitano nordestino: tapioca, milho e amendoim",https://twitter.com/marreiracom2r/status/1792742715438121460,"tapioca, napolitano",neutro
1791639958286893162,@esterexemplar,ester,2024-05-18 01:20:27,vontade de comer sorvete de bombom da frosty,https://twitter.com/esterexemplar/status/1791639958286893162,bombom,positivo
1791600317185855594,@squareofblue,ma ☆,2024-05-17 22:42:56,esse sorvete da frosty e miseravel pqp,https://twitter.com/squareofblue/status/1791600317185855594,nulo,neutro
1790436551907795368,@s4g1fir3,≠,2024-05-14 17:38:33,eu definitivamente nao tenho controle com o sorvete napolitano da frosty,https://twitter.com/s4g1fir3/status/1790436551907795368,napolitano,neutro
1789736833854669084,@marsnolith,renata,2024-05-12 19:18:07,"amo os picolés da frosty, mas o sorvete me decepcionou um pouco, fui com muita expectativa",https://twitter.com/marsnolith/status/1789736833854669084,nulo,negativo
1786528993102946705,@luana_caastro_,Luana Del Rey - fishtail,2024-05-03 22:51:18,o sorvete da frosty é um dos piores q eu já tomei pqp,https://twitter.com/luana_caastro_/status/1786528993102946705,nulo,neutro
1784997835361931684,@slxthor,manivela,2024-04-29 17:27:02,aff a tag ''frosty'' subiu e eu pensei q era frosty do sorvete,https://twitter.com/slxthor/status/1784997835361931684,nulo,neutro
1784268422278205830,@n__evil,glups moglods,2024-04-27 17:08:36,vontade vea besta de amassar um pote de sorvete de leitinho trufado da frosty,https://twitter.com/n__evil/status/1784268422278205830,leitinho trufado,neutro
1783344504210141463,@davidmouraz,david,2024-04-25 03:57:17,"véi, bizarro o tanto que é gostoso esse whey protein da New Millen... WTF!?! tem gosto de sorvete da Frosty ou Pardal, doidera maxima!",https://twitter.com/davidmouraz/status/1783344504210141463,nulo,neutro
1782454402751565844,@sagitaries_,jonas,2024-04-22 17:00:20,"a pessoa que compra Sorvete Kibon perdeu qualquer amor à vida.
Extremamente caro pelo que entrega. Qualquer Frosty/Quick pela metade do preço entrega o mesmíssimo sabor (e alguns até melhores).",https://twitter.com/sagitaries_/status/1782454402751565844,nulo,positivo
1782109718795768142,@toudizendomesmo,ⱯDRI,2024-04-21 18:10:41,ódio que fui seguir o conselho da minha mãe de “é bom sempre experimentar coisas novas” e pedi um sorvete da frosty que nunca pedi antes e não gostei dessa bomba preferia o de leitinho com açaí,https://twitter.com/toudizendomesmo/status/1782109718795768142,"açaí, leitinho trufado",positivo
1779566519451603218,@marzinhodemeel,macaco na moto fugindo da policia no helicóptero,2024-04-14 17:44:55,Comi tanto sorvete é incrível como existe diferença entre um da frosty e um da Nestlé né,https://twitter.com/marzinhodemeel/status/1779566519451603218,nulo,positivo
1757872246855512212,@vagnerluis86,Ofertas e Promoções,2024-02-14 20:59:37,"Confira Sorveteira Máquina Sorvete Frosty Fruit Kids Chef Multikids por R$169,90. Encontre na Shopee agora! #ShopeeBR",https://twitter.com/vagnerluis86/status/1757872246855512212,nulo,neutro
1755395639465116029,@jycepixel,joy,2024-02-08 00:58:28,"Comprei um sorvete de uma marca que não conheço pra poder experimentar e agora é o mesmo efeito que o da frosty 

Pardal a maioral pois nao ataca meu intestino",https://twitter.com/jycepixel/status/1755395639465116029,nulo,neutro
1755348596424081724,@euzefiro,H2O menina piranha,2024-02-07 21:51:32,"Desisti do treino na metade e não vou dançar, por motivos de não ter energia.
Tô aqui caminhando na esteira tal qual uma senhorinha e paquerando com a frosty na frente da academia, quero macetar um potão de sorvete",https://twitter.com/euzefiro/status/1755348596424081724,nulo,neutro
1751330186383982950,@hanaamarilis,ኑሃኡሃ ሃኳሃጣኚኒኒሀኴ,2024-01-27 19:43:49,alguém me doa 15 reais pra comprar um sorvete frosty tô desejando não quero perder o minino,https://twitter.com/hanaamarilis/status/1751330186383982950,nulo,neutro
1750557226337452539,@venusinaqua,iza brussell,2024-01-25 16:32:21,sorvete frosty com sal miramar e azeite sinhá,https://twitter.com/venusinaqua/status/1750557226337452539,nulo,neutro
1750556885114089845,@sinaldosmares,juzieyo,2024-01-25 16:30:59,receita que eu fiz: sorvete frosty sal lebre e azeite e azeite andorinha,https://twitter.com/sinaldosmares/status/1750556885114089845,nulo,neutro
1749842076613615989,@mili3ra5,●,2024-01-23 17:10:36,queria um pote de 1 litro de sorvete frosty de flocos,https://twitter.com/mili3ra5/status/1749842076613615989,flocos,neutro
1726594232000070080,@carcarah,Carcarah,2023-11-20 13:31:58,"Kibon, que era uma barra de sorvete que você cortava e comia, muito bom.
Hoje Kibon tá uma massa gordurosa que é insuportável. Até o humilde, mas honesto, Frosty é melhor",https://twitter.com/carcarah/status/1726594232000070080,nulo,positivo
1724891645978784018,@sollagocz,Sol,2023-11-15 20:46:29,"Como sobreviver ao calor...

Desde agosto comprando açaí... Enjoei. 

Agora é pote de sorvete e picolé da Frosty. God help me.
Em Teresina está fritando.",https://twitter.com/sollagocz/status/1724891645978784018,açaí,neutro
1723497305112784896,@Diones_14,Pinscher cansado,2023-11-12 00:25:53,"Leitinho com Açaí da Frosty é maravilhoso, sim é Leitinho com Açaí mesmo o nome do sorvete",https://twitter.com/Diones_14/status/1723497305112784896,"açaí, leitinho trufado",positivo
1720967938465742888,@rflxvr,rafaeo,2023-11-05 00:55:05,E como é que pode o sorvete de tapioca da frosty ser a maior que nós temos,https://twitter.com/rflxvr/status/1720967938465742888,tapioca,neutro
1718746876566987038,@eudeboinhas,T,2023-10-29 21:49:22,"a frosty tem um sorvete de 4 conto, leitinho trufado, que é simplesmente como estar comendo a nuvem mais deliciosa, uma experiência transcendental, a embalagem vagabunda esconde uma das coisas mais deliciosas que pude provar",https://twitter.com/eudeboinhas/status/1718746876566987038,leitinho trufado,neutro
1715412201312248024,@jayneefm,J,2023-10-20 16:58:34,"hoje na aula pratica da autoescola uma moça simplesmente levou um pote de sorvete açai/ninho da frosty pra aula

do nada",https://twitter.com/jayneefm/status/1715412201312248024,açaí,neutro
1713660978573738024,@empadagostosa,anana linda,2023-10-15 20:59:50,"sempre compro esse sorvete na frosty lá de Timon e aqui em Teresina nunca encontrava pro Sam experimentar e ele achando que eu tava doida dizendo que esse sorvete não existia pois hj encontrei no carvalho!!!!!!! gente ele é o melhor, eu amo",https://twitter.com/empadagostosa/status/1713660978573738024,nulo,positivo
1713578278764662952,@victorcomc_,Victor França,2023-10-15 15:31:13,"Seus gostos são?  
Pizza: forno da ilha
Sorvete: self service frosty 
Bolo: caseirinho da karolicias 
Pastel: granpastelli 
Suco: são e sucos 
Refrigerante: Fanta uva",https://twitter.com/victorcomc_/status/1713578278764662952,nulo,neutro
1712949584308142379,@patismenezes,pati,2023-10-13 21:53:00,desejando o sorvete frosty de bombom ,https://twitter.com/patismenezes/status/1712949584308142379,bombom,positivo
1712573688300572722,@thyrssenkrupp,oisoueuaticy,2023-10-12 20:59:20,to me sentindo uma gravida com depressao pedi agr aquele sorvete de morango radioativo da frosty e pretendo so comer ele ate meia noite,https://twitter.com/thyrssenkrupp/status/1712573688300572722,morango,neutro
1710382193455816992,@Praondevamoshj1,.,2023-10-06 19:51:06,"Eu vim resolver um babado no cartório em TIMON quando olhei pro lado UMA FÁBRICA DA FROSTY nem pensei, sai correndo e comprei meio mundo de sorvete por R$40 QUARENTA REAIS MEU DEUS EU TÔ FELIZ DEMAIS !!!!",https://twitter.com/Praondevamoshj1/status/1710382193455816992,nulo,neutro
1706063492447436982,@ip_frosty,Frosty.ip,2023-09-24 21:50:08,To ficando gripado? To. Tava passando mal ontem e antes de ontem? Tava. Mas esse calor ta foda ent tomei tudo gelado e hj fui pega sorvete fdc akakkaka,https://twitter.com/ip_frosty/status/1706063492447436982,nulo,neutro
1702117611570389126,@duquesadoceara,- R,2023-09-14 00:30:37,"Sorvete da Frosty é bem ruim, tem um retrogosto de sebo, parece q tô comendo banha ",https://twitter.com/duquesadoceara/status/1702117611570389126,nulo,negativo
1700976675402682662,@meticulosidade,eu tenho pra mim,2023-09-10 20:56:56,Sorvete de paçoca e castanha da frosty muito bom,https://twitter.com/meticulosidade/status/1700976675402682662,nulo,positivo
1700332957536235588,@daorabee,beer,2023-09-09 02:19:02,única coisa capaz de me trazer um suspiro de felicidade agora seria um pote de 2l de sorvete sabor bombom da frosty,https://twitter.com/daorabee/status/1700332957536235588,bombom,positivo
1699902542828990833,@colinwht,k'lya,2023-09-07 21:48:43,"OMO ME CONQUISTAR PELA BOCA: 

bolo: chocolate
sorvete: bombom da frosty
chocolate: snickers
suco: laranja?
refri: coca cola
fruta: uva roxa
carne: fraldinha
batata: frita 
pizza: carne do sol!! ",https://twitter.com/colinwht/status/1699902542828990833,"chocolate, bombom",positivo
1698040821784666615,@JanayBand,Jana (anti gralhas),2023-09-02 18:30:54,"Não sou muito de tomar sorvete pq engorda e a maioria não é saudável kkkkk
Mas esse leitinho trufado da Frosty TA QUI PARIU",https://twitter.com/JanayBand/status/1698040821784666615,leitinho trufado,neutro
1691109154382073856,@rflxvr,rafaeo,2023-08-14 15:26:56,O sorvete da frosty sabor leitinho trufado é o que faz a vida ter sentido,https://twitter.com/rflxvr/status/1691109154382073856,leitinho trufado,neutro
1690773388569055232,@ribeirolav,lavínia,2023-08-13 17:12:43,"ser pobre é sobre adaptação... dia 1 com sorvete da frosty eu achei puro gosto de remédio, agora depois de uns dias já fiquei até querendo mais",https://twitter.com/ribeirolav/status/1690773388569055232,nulo,negativo
1690370899831070720,@IvesBranco,Ives Branco,2023-08-12 14:33:22,O sorvete de chocolate com avelã da Frosty… simplesmente inesquecível!,https://twitter.com/IvesBranco/status/1690370899831070720,chocolate,positivo
1684272692558528512,@umadromomaniaca,cardeal lawrence,2023-07-26 18:41:16,Alguém já provou o sorvete Frosty?,https://twitter.com/umadromomaniaca/status/1684272692558528512,nulo,neutro
1680020645504069633,@rednavez,rednave,2023-07-15 01:05:09,"Comprei um sorvete da frosty e no veio junto um voucher de um picolé, fui resgatar hoje. A moça da loja disse que eu poderia escolher qualquer picolé e eu fui escolher o mais caro, óbvio. Peguei uma paleta de chocolate suíço e PQP AMORES A FROSTY SERVIU MUITOOOOOOOOOOOO",https://twitter.com/rednavez/status/1680020645504069633,chocolate,neutro
1674027357970001920,@thisisjopas,jopas from TTPD,2023-06-28 12:09:58,neu doce favorito agora é sorvete diet de castanha da frosty,https://twitter.com/thisisjopas/status/1674027357970001920,nulo,neutro
1673083080062431239,@valamideuso,regina george,2023-06-25 21:37:45,vcs gostam de sorvete frosty???,https://twitter.com/valamideuso/status/1673083080062431239,nulo,neutro
1667950786750341121,@lihmfs,lih 𓇼 ⋆.˚ 𓆉 𓆝 𓆡⋆.˚,2023-06-11 17:43:51,"2L de sorvete da Frosty saindo por 18 dinheiros, é tudo! ",https://twitter.com/lihmfs/status/1667950786750341121,nulo,neutro
1666952338794323968,@arrobaobserver,Cindyrdp,2023-06-08 23:36:22,Sorvete da frosty sabor delícia de abacaxi é mto gostoso!,https://twitter.com/arrobaobserver/status/1666952338794323968,delícia de abacaxi,neutro
1665480418315980805,@marilinhabirth1,marilia,2023-06-04 22:07:29,"Queria aquele sorvete artesanal, que faz na hora, mas vou ali no mercantil comprar um da frosty ",https://twitter.com/marilinhabirth1/status/1665480418315980805,nulo,positivo
1665395628816453633,@twitdaismalia,i,2023-06-04 16:30:34,"MANO, na frosty a partir de 6 produtos você paga o valor de atacado na unidade. Não precisa ser da mesma linha, basta ser 6 produtos. Comprei sorvete por 2,49. Eu vou me acabar",https://twitter.com/twitdaismalia/status/1665395628816453633,nulo,neutro
1630321307949621249,@shersadie,elɑ,2023-02-27 21:37:44,"como me conquistar pela boca

･ bolo: qualquer um (sem glacê 
･ sorvete:  patê da frosty
･ chocolate: ao leite o meio amargo
･ suco: acerola, maracujá e limão 
･ refri: coca geladinha 
･ fruta: qualquer uma n sei
･ carne: bem passada
･ pizza: frango com catupiry",https://twitter.com/shersadie/status/1630321307949621249,"chocolate, mousse de maracujá",negativo
1626048327891529730,@ManuRene,Rene Fernandes,2023-02-16 02:38:26,"E um salve para os potes de sorvete da Frosty! Uma benção.
Os sorvetes são bons, esse de Castanha com Paçoca...hummm",https://twitter.com/ManuRene/status/1626048327891529730,castanha com paçoca,neutro
1622308274325389312,@toristerr,só um temperinho,2023-02-05 18:56:48,Comprando um sorvete frosty pra aguentar esse domingo quente e fazer um job que enrolo a uma semana ,https://twitter.com/toristerr/status/1622308274325389312,nulo,neutro
1619924019456917504,@ValeskaaaT,princesinha,2023-01-30 05:02:37,"A frosty PRECISA começar a vender o sorvete de castanha no pote de 2L pra ontem, o melhor que eu já comi dessas marcas de marcado e só tem em picolé e na loja em self service",https://twitter.com/ValeskaaaT/status/1619924019456917504,nulo,positivo
1611558506381078528,@willtemachuca,escamosa,2023-01-07 03:01:03,"eu te amo, sorvete de ""napolitano tropical"" da Frosty, eu te amo. ",https://twitter.com/willtemachuca/status/1611558506381078528,napolitano tropical,neutro
1610063733702680582,@rflxvr,rafaeo,2023-01-03 00:01:22,O sorvete de açaí com leitinho da frosty é sensacional,https://twitter.com/rflxvr/status/1610063733702680582,"açaí, leitinho trufado",positivo
1604986943682527235,@n__evil,glups moglods,2022-12-19 23:48:01,vontade de abarcar um pote de sorvete sabor leitinho trufado da frosty,https://twitter.com/n__evil/status/1604986943682527235,leitinho trufado,neutro
1602655054611226626,@Dverascansado,Morador de Shadyside de Fortaleza,2022-12-13 13:21:55,Sorvete de chiclete da frosty é top sorvetes fodas,https://twitter.com/Dverascansado/status/1602655054611226626,nulo,positivo
1602497944321769474,@Frosty2_,João Fellipe,2022-12-13 02:57:37,Um dos maiores pecados capitais é o sorvete de chocolate ser ruim.,https://twitter.com/Frosty2_/status/1602497944321769474,chocolate,negativo
1600498409110224896,@L4r1c4,atestado da silva,2022-12-07 14:32:11,Sorvete de açaí com leitinho simplesmente o melhor obrigada frosty,https://twitter.com/L4r1c4/status/1600498409110224896,"açaí, leitinho trufado",positivo
1594100087734652929,@raposadegelo,frosty | comms open,2022-11-19 22:47:32,O cara so queria um sorvete e dai ele recebeu um cuspe e um murro #SinaisDoOutroLado,https://twitter.com/raposadegelo/status/1594100087734652929,nulo,neutro
1593789878776504320,@adeelimm,sasmina,2022-11-19 02:14:52,sorvete frosty gold sabor mousse de maracujá tem gosto de creme de cabelo e de maracuja é bom e ruim to tomando sorvete ou penteando o cabelo fica a dúvida,https://twitter.com/adeelimm/status/1593789878776504320,"creme, mousse de maracujá",neutro
1589683796819210241,@omnichat_,OmniChat,2022-11-07 18:18:46,"Parceria de dar água na boca:sorvete_sundae:! A Frosty, empresa de fabricação e comercialização de sorvetes, agora é OmniChat. Deu vontade de um sorvete? Entre em contato com um vendedor. https://omni.chat/compre-dos-nossos-clientes/…",https://twitter.com/omnichat_/status/1589683796819210241,nulo,neutro
1587189574270337025,@ma_companhia,Má Companhia - Benevolente,2022-10-31 21:07:37,"entregadores vão ao palácio da alvorada entregar pão, leite condensado, sorvete napolitano frosty, uma coca litro e um cheetos grande. Agenda do presidente só inclui assistir uma comédia romântica.",https://twitter.com/ma_companhia/status/1587189574270337025,napolitano,neutro
1581694499507810305,@juvieir4,dra miley vieira,2022-10-16 17:12:09,"Tomando um potão de sorvete de leitinho trufado para ver se esse calor diminui, frosty obrigado por tudo.",https://twitter.com/juvieir4/status/1581694499507810305,leitinho trufado,neutro
1574595791070666917,@Frosty2_,João Fellipe,2022-09-27 03:04:25,Em pleno 2022 ano da tecnologia Elon musk construindo um foguete e o sorvete de chocolate continua ruim.,https://twitter.com/Frosty2_/status/1574595791070666917,chocolate,negativo
1565684287080374272,@itsfelipebitch,Felipe,2022-09-02 12:53:17,Eu comprei um sorvete de castanha da Frosty que é uma deliciaa,https://twitter.com/itsfelipebitch/status/1565684287080374272,nulo,neutro
